t,roll,pitch,true_hdg,acc_g,naive_hdg,module_hdg,stab_hdg,mag_trust
0.0,-13.06,-2.25,88.22,1.041,93.39,88.33,88.33,1.0
0.05,-14.02,-2.18,88.27,1.037,93.09,88.47,88.33,1.0
0.1,-14.89,-2.09,88.33,1.034,92.77,88.63,88.33,1.0
0.15,-15.66,-1.96,88.42,1.03,92.44,88.79,88.33,1.0
0.2,-16.33,-1.82,88.52,1.026,92.1,88.97,88.34,1.0
0.25,-16.9,-1.65,88.64,1.022,91.75,89.15,88.34,1.0
0.3,-17.38,-1.46,88.77,1.018,91.4,89.33,88.36,1.0
0.35,-17.75,-1.25,88.91,1.014,91.06,89.52,88.37,1.0
0.4,-18.02,-1.03,89.06,1.01,90.72,89.71,88.39,1.0
0.45,-18.19,-0.8,89.21,1.006,90.39,89.89,88.41,1.0
0.5,-18.27,-0.57,89.38,1.002,90.07,90.08,88.43,1.0
0.55,-18.25,-0.33,89.54,0.998,89.76,90.25,88.46,1.0
0.6,-18.13,-0.09,89.7,0.995,89.47,90.42,88.5,1.0
0.65,-17.93,0.14,89.86,0.991,89.2,90.57,88.53,1.0
0.7,-17.63,0.36,90.01,0.988,88.94,90.71,88.58,1.0
0.75,-17.25,0.57,90.15,0.985,88.7,90.84,88.62,1.0
0.8,-16.78,0.77,90.29,0.982,88.48,90.95,88.67,1.0
0.85,-16.23,0.95,90.41,0.979,88.27,91.04,88.72,1.0
0.9,-15.6,1.1,90.51,0.977,88.08,91.12,88.78,1.0
0.95,-14.89,1.23,90.6,0.975,87.91,91.17,88.83,1.0
1.0,-14.11,1.33,90.67,0.973,87.74,91.21,88.9,1.0
1.05,-13.25,1.4,90.73,0.972,87.59,91.22,88.96,1.0
1.1,-12.33,1.45,90.76,0.97,87.45,91.21,89.97,1.0
1.15,-11.35,1.46,90.78,0.969,87.31,91.18,89.97,1.0
1.2,-10.3,1.45,90.77,0.968,87.19,91.13,89.98,1.0
1.25,-9.2,1.4,90.75,0.968,87.06,91.06,89.99,1.0
1.3,-8.04,1.33,90.71,0.967,86.94,90.97,90.01,1.0
1.35,-6.84,1.23,90.65,0.967,86.83,90.86,90.02,1.0
1.4,-5.59,1.1,90.58,0.967,86.71,90.74,90.04,1.0
1.45,-4.3,0.95,90.49,0.967,86.6,90.61,90.06,1.0
1.5,-2.97,0.78,90.39,0.967,86.49,90.46,90.07,1.0
1.55,-1.62,0.59,90.28,0.967,86.37,90.3,90.09,1.0
1.6,-0.24,0.39,90.16,0.967,86.26,90.14,90.1,1.0
1.65,1.16,0.17,90.04,0.967,86.15,89.97,90.11,1.0
1.7,2.57,-0.05,89.91,0.968,86.05,89.8,90.12,1.0
1.75,3.99,-0.28,89.79,0.968,85.94,89.63,90.13,1.0
1.8,5.41,-0.5,89.66,0.968,85.84,89.46,90.13,1.0
1.85,6.83,-0.72,89.54,0.969,85.74,89.3,90.13,1.0
1.9,8.23,-0.93,89.42,0.969,85.66,89.15,90.13,1.0
1.95,9.62,-1.13,89.32,0.97,85.57,89.0,90.12,1.0
2.0,10.98,-1.32,89.22,0.97,85.5,88.87,90.11,1.0
2.05,12.3,-1.48,89.14,0.97,85.44,88.75,90.09,1.0
2.1,13.59,-1.63,89.08,0.971,85.39,88.65,90.07,1.0
2.15,14.82,-1.74,89.02,0.971,85.36,88.57,90.05,1.0
2.2,16.0,-1.83,88.99,0.971,85.34,88.5,90.02,1.0
2.25,17.12,-1.9,88.98,0.971,85.34,88.45,89.99,1.0
2.3,18.17,-1.93,88.98,0.972,85.36,88.42,89.96,1.0
2.35,19.14,-1.93,89.0,0.972,85.4,88.42,89.92,1.0
