t,roll,pitch,true_hdg,acc_g,naive_hdg,module_hdg,stab_hdg,mag_trust
0.0,8.97,0.51,91.07,0.963,87.11,91.03,91.03,1.0
0.05,6.87,1.77,91.6,0.974,88.87,91.53,91.03,1.0
0.1,4.72,3.01,92.12,0.986,90.58,92.05,91.03,1.0
0.15,2.54,4.23,92.62,0.997,92.21,92.56,91.04,1.0
0.2,0.34,5.41,93.09,1.009,93.77,93.06,91.06,1.0
0.25,-1.85,6.54,93.54,1.021,95.24,93.56,91.09,1.0
0.3,-4.02,7.61,93.95,1.032,96.6,94.03,91.12,1.0
0.35,-6.14,8.62,94.32,1.043,97.86,94.48,91.16,1.0
0.4,-8.21,9.54,94.66,1.054,99.0,94.91,91.22,1.0
0.45,-10.2,10.37,94.95,1.064,100.02,95.3,91.28,1.0
0.5,-12.1,11.11,95.2,1.073,100.93,95.65,92.42,1.0
0.55,-13.89,11.74,95.4,1.082,101.71,95.97,92.43,1.0
0.6,-15.56,12.27,95.55,1.09,102.37,96.25,92.46,1.0
0.65,-17.1,12.69,95.65,1.097,102.9,96.48,92.5,1.0
0.7,-18.49,12.99,95.7,1.103,103.32,96.66,92.55,1.0
0.75,-19.74,13.17,95.71,1.108,103.61,96.8,92.61,1.0
0.8,-20.82,13.23,95.66,1.112,103.79,96.9,93.74,1.0
0.85,-21.74,13.18,95.57,1.116,103.86,96.94,93.76,1.0
0.9,-22.48,13.01,95.44,1.118,103.81,96.95,93.78,1.0
0.95,-23.05,12.74,95.26,1.119,103.67,96.91,93.81,1.0
1.0,-23.45,12.35,95.05,1.119,103.42,96.82,93.85,1.0
1.05,-23.67,11.86,94.8,1.118,103.09,96.7,93.9,1.0
1.1,-23.72,11.28,94.51,1.116,102.67,96.54,93.95,1.0
1.15,-23.59,10.6,94.2,1.114,102.17,96.34,94.01,1.0
1.2,-23.3,9.85,93.86,1.111,101.6,96.12,94.06,1.0
1.25,-22.85,9.03,93.5,1.107,100.96,95.86,94.12,1.0
1.3,-22.25,8.14,93.12,1.102,100.28,95.58,94.17,1.0
1.35,-21.5,7.2,92.73,1.097,99.54,95.29,94.23,1.0
1.4,-20.61,6.22,92.33,1.091,98.77,94.97,94.28,1.0
1.45,-19.59,5.21,91.93,1.085,97.98,94.64,94.32,1.0
1.5,-18.46,4.18,91.52,1.079,97.16,94.3,94.36,1.0
1.55,-17.23,3.15,91.12,1.072,96.33,93.96,94.39,1.0
1.6,-15.9,2.11,90.72,1.066,95.5,93.62,94.42,1.0
1.65,-14.49,1.09,90.34,1.059,94.68,93.28,94.44,1.0
1.7,-13.0,0.09,89.96,1.053,93.87,92.94,94.45,1.0
1.75,-11.46,-0.88,89.61,1.046,93.09,92.61,94.45,1.0
1.8,-9.88,-1.8,89.27,1.04,92.33,92.29,94.44,1.0
1.85,-8.26,-2.68,88.95,1.034,91.61,91.99,94.43,1.0
1.9,-6.61,-3.5,88.66,1.028,90.93,91.71,94.4,1.0
1.95,-4.96,-4.25,88.4,1.023,90.3,91.44,94.37,1.0
2.0,-3.3,-4.93,88.16,1.018,89.72,91.2,94.33,1.0
2.05,-1.65,-5.54,87.94,1.013,89.19,90.97,94.28,1.0
2.1,-0.03,-6.06,87.76,1.008,88.71,90.77,94.22,1.0
2.15,1.57,-6.51,87.6,1.004,88.29,90.6,93.19,1.0
2.2,3.13,-6.87,87.47,1.001,87.93,90.44,93.18,1.0
